author,title,description,content
Emma Grey Ellis,Thanks to Sheltering in Place  Animal Shelters Are Empty,A recent pet adoption boom is the feel good pandemic story you need right now ,The Riverside County Animal Shelter has a beautiful problem  Theyre all out of adoptable animals  As you can see  we have a completely empty adoption center  animal services director Julie Bank says in a video posted Wednesday on the California shelters Insta  6488 chars 
Charlie Wood,Why Do Matter Particles Come in Threes ,Nobel Prizewinning physicist Steven Weinberg s new paper tackles the mystery of why the laws of nature appear to have been composed in triplicate ,The universe has cooked up all sorts of bizarre and beautiful forms of matter  from blazing stars to purring cats  out of just three basic ingredients  Electrons and two types of quarks  dubbed up and down  mix in various ways to produce every atom in existen  3840 chars 
Aarian Marshall,The Elegant Mathematics of Social Distancing,Schools and sports leagues are shutting down  But experts say it s still safe for most people to shop for groceries and meet in small groups ,My cousin had to cancel his bar mitzvah  which was planned for Saturday in Washington  DC  Some 100 people were scheduled to be there  but like many houses of worship this week  the synagogue suspended its services to help prevent the spread of the coronaviru  4158 chars 
Jennifer Ouellette Ars Technica,Real World Lessons From a  World of Warcraft  Virtual Outbreak,Nearly 15 years ago  player responses to the  Corrupted Blood incident  helped researchers better account for unpredictable human behavior ,When it comes to a global pandemic  human beings are the ultimate wild card  That makes it challenging to build accurate mathematical models to predict how the progress of the disease will play out  We ve certainly seen plenty of all too human responses to co  4391 chars 
Sabrina Weiss WIRED UK,Covid 19 Is Killing More Men Than WomenHere Are Some Theories,Scientists cant say for certain why the current pandemic is discriminating by sex  but it likely comes down to biology  lifestyle  and behavior ,Coronavirus appears to pose a particular threat to men  Middle aged and older men  and those with underlying health conditions that affect the immune system  are being especially badly hit by the virus  And while scientists cant say for certain why the curren  3875 chars 
Shannon Stirone,Space Photos of the Week  Rovers Taking Selfiesfor Science,Instead of likes  these snapshots provide teams with vital information about how spacecraft are faring on interplanetary surfaces ,When spacecraft leave the Earth they are destined to either land somehere  orbit something or fly by a planetary object  And one of the very first things NASA does when a spacecraft lands on another planet is to have it take a selfie  Let me see your wheels i  3235 chars 
Sara Harrison,Why Stress Baking and Cleaning Make You Less Anxious,You re not the only one who finds  quarantinebaking so soothing  Turns out  it has a lot to do with the neuroscience of mindful meditation ,Micah Bucey is surprised by how well guided meditations work over Zoom  Bucey  an associate minister at New Yorks Judson Memorial Church  usually leads in person meditations once a week  But since the coronavirus outbreak  Buceys gone digital  I actually am q  5442 chars 
Andy Greenberg,Clever Cryptography Could Save Privacy in Covid 19 Contact Tracing Apps,Researchers are racing to achieve the benefits of location tracking without the surveillance ,Before the Covid 19 pandemic  any system that used smartphones to track locations and contacts sounded like a dystopian surveillance nightmare  Now  it sounds like a dystopian surveillance nightmare that could also save millions of lives and rescue the global  6421 chars 
Brian Barrett,The iPads Lidar Is a Dry Run for Apples AR Glasses,There s a lidar scanner on Apple s newest iPad  but it isn t really for the iPad at all ,But its even more appropriate when you leave your apartment and step out into the world  which introduces complications like walking around  This isnt your run of the mill stand still and point your phone at something AR experience  says Jessica Brillhart  di  2748 chars 
Eric Niiler,Trump Bans Travel From Europebut Covid 19 Is Already Here,Public health experts say the US should prioritize protecting vulnerable residents and halting the domestic spread of the virus ,As the number of new coronavirus cases begins to decline in China  there are new fears that Europe may emerge as a center of the global pandemic  Outbreaks in Italy  Spain and Germany led President Donald Trump to announce new restrictions on visitors from 26  3550 chars 
Gilad Edelman,Trumps Coronavirus Experts  A Field Guide,Here are the brave men who arent letting a lack of relevant training stop them from weighing in on how to solve the crisis ,While millions of Americans may be worried about Donald Trump s fitness to manage the coronavirus pandemic  the fact is he has spent the past half century accruing credentials to prepare for this moment  real estate mogul  author  WWE Hall of Famer  steak pit  3673 chars 
Klint Finley,Anyone s a Celebrity Streamer With This Open Source App,OBS Studio offers customization and other advanced features that are easier to use than those in other free recording tools,Live streaming is booming  People spent 1 2 billion hours watching Twitch in the first quarter of 2020  according to analytics company StreamHatchet and streaming software company Streamlabs  Time spent viewing the live streaming service  a unit of Amazon  ju  3213 chars 
Virginia Heffernan,What Plant Based Burgers Can Teach Us About Saving the Planet,Implementing radical climate solutions is less a technological project than an anthropological oneone that goes all the way down into our beliefs about food ,Pat Brown  the Stanford biochemist who founded Impossible Foods  was trying to be patient  as if he were addressing a dim sophomore  This was five years ago  and his company s signature producta bona fide burger made from plants and animated by a molecule fro  5407 chars 
Lisa Margonelli,The Battle Against Global Warming Is the New Cold War,Here s how to mobilize the same federal machinery that gave us Wi Fi  semiconductors  GPS  and the internetthis time to fight climate change ,The Cold War inspired the creation of several key publicly funded organizations  many of them military  that have reconfigured the nation s economy  and the world s  through a series of transformative technology booms  The Defense Advanced Research Projects A  4011 chars 
Ferris Jabr,Covid 19 Is Nothing Like the Spanish Flu,A widely cited stat about death rates seems to argue otherwise  but it s surely incorrect  So how d it end up in the research literature ,Unfortunately  the two purported sources for the 2 5 percent fatality rate were published more than 40 years ago and their authors are no longer with us  I was able to reach public health expert Niall Johnson  however  primary author of a 2002 study that prod  5230 chars 
Moises Velasquez Manoff,The Fishy Fix to a Methane Spewing Crop,Rice has the biggest carbon footprint of any grain  Bite by bite  bacteria guzzling minnows can make it much smaller ,Next time you sit down to a bowl of steaming rice  consider this  Of all the grains humans eat  rice has the biggest carbon footprint  Of course  rice is a staple for half of humanity  which partly explains the outsize footprint  The big problem  though  is t  3794 chars 
Jon Gertner,Rivian Wants to Bring Electric Trucks to the Masses,Can the automative upstart break Americas addiction to carbon spewing pickups and SUVs  With Amazon on its side  it might have a chance ,Once the vans are on the road and gathering data  Rivian will learn valuable information about  say  which parts are most prone to wear out or which bit of code needs patching  And whatever Rivian learns from its vans could well inform its trucks and SUVs  Th  6086 chars 
Fred Vogelstein,A Creator of the Ebola Vaccine Has Hope for Slowing Covid 19,Gary Kobinger says a vaccine targeting groups like the elderly could be ready in less than a year  and control measures are slowing the disease s spread ,When the late Bob Simon interviewed Gary Kobinger for 60 Minutes in 2015  Kobinger was working principally in a space suit in a special clean room behind bulletproof glass  At the time  he was a top virologist at Canadas National Microbiology Lab  where he be  6191 chars 
Michael Waters,This Pandemic Is Perilously Boring,It s far from being the most important source of human suffering  But the rapid spread of boredom across the world is a crisis of its own ,When the city of Cleveland instituted a partial lockdown in October 1918  shuttering nearly all businesses after 8 pm  a writer for a local newspaper observed that life had become just a big vacuum  a great monstrous wad of nothing  To curb the Spanish Flu  C  5795 chars 
Eva Holland,A Truly Green Electric Grid Will Need Very Big Batteries,It takes a lot more than just solar farms and wind turbines  Storing excess electricity is essential for renewable energy to really be renewable ,Sometimes the sun just shines too brightly on California  The state is such a glutton for solar energya million solar paneled rooftops  hundreds of enormous solar stationsthat it routinely harvests more megawatts than people can use or the grid can handle  Du  7191 chars 
Monica Chin,As universities shut their doors  international students are left in limbo,Surprise campus closures are just the beginning of the difficulties international students face  In addition to the stress of moving and saying goodbye to friends  many of these students are scrambling to secure access to things many college students take for,Photo by Maddie Meyer Getty Images Students are still unsure how  and where  theyll finish their semester On March 11th  the University of Southern California sent an email to its students  faculty  and staff  Students who are leaving campus for Spring Rece  7748 chars 
Jay Peters,Chan Zuckerberg Initiative commits  25 million to a fund researching COVID 19 treatments,The Chan Zuckerberg Initiative has committed  25 million to a research fund designed to help identify and develop treatments for the disease caused by the novel coronavirus ,The Gates Foundation has committed  50 million to the fund Photo by Johannes Simon Getty Images The Chan Zuckerberg Initiative  CZI  Facebook CEO Mark Zuckerbergs philanthropic arm  has committed  25 million to a research fund designed to help identify and  2361 chars 
Russell Brandom,Relaxing isolation rules wont help the economy  say economists,President Donald Trump has pushed to relax social distancing and shelter in place rules by Easter Sunday  April 12th  but economists say relaxing restrictions could make the economic damage even worse ,President Trump is pushing to ease restrictions by Easter  but it would only make the pandemic worse Photo by Spencer Platt Getty Images As the COVID 19 pandemic stretches into its second month and shows no signs of slowing  President Donald Trump has pushe  5345 chars 
Justine Calma,Why were seeing some severe COVID 19 cases among younger people,Young people can become seriously ill from the novel coronavirus  even though COVID 19 is deadlier for seniors  Health officials are asking younger adults to take the pandemic seriously ,They can come down with a severe case of the disease caused by the novel coronavirus  but its less likely  Photo by Sergei Bobylev TASS via Getty Images COVID 19  the disease caused by the novel coronavirus  has been much deadlier in older people but more a  3187 chars 
Andrew J Hawkins,Electric scooter sharing grinds to a halt in response to the COVID 19 pandemic,Electric scooters are disappearing from cities around the world in response to the novel coronavirus pandemic  Lime and Bird are halting operations in dozens of markets  The decisions are coming at a time of uncertainty for personal mobility ,Lime and Bird are suspending some service amid the pandemic  but Spin says its stepping up Photo by Mohd Daud NurPhoto via Getty Images Electric scooters are vanishing from more cities as the novel coronavirus pandemic continues to roil shared mobility serv  5383 chars 
Nicole Wetsman,Arresting people for coughing wont keep communities safer,People have been arrested for intentionally coughing in public and claiming to spread COVID 19  Criminalizing the transmission of a disease doesnt effectively reduce the spread of disease  though  and could make it harder for public health officials to do th,Why calling someone a criminal for spreading the novel coronavirus is unlikely to slow the spread  Photo by Matthew J  Lee The Boston Globe via Getty Images Over the weekend  a man in North Dakota was arrested for coughing at a local Walmart  The store  lik  3722 chars 
Nicole Wetsman,Med students are graduating early to join the fight against COVID 19,Medical students at NYU and other schools who already meet graduation requirements can become doctors early if they agree to join the COVID 19 response ,Fourth year medical students can become doctors months ahead of schedule Photo by John Nacion NurPhoto via Getty Images In a normal year  fourth year medical students across the United States would have some downtime in April  They would have already found   4022 chars 
Justine Calma,Migrants arent to blame for COVID 19,The Trump administration is using the COVID 19 pandemic as an excuse for hard line immigration policies  The novel coronavirus is already widespread in the US  and its useless to scapegoat migrants at our borders ,This is no time to crack down on immigration Photo by Jaap Arriens NurPhoto via Getty Images To get myself through the pandemic  Ive been summoning everything Ive learned about surviving in a new world as an immigrant  I left the Philippines as a kid to joi  7654 chars 
Justine Calma,What happens when extreme heat collides with a pandemic ,Extreme heat can be deadly  especially for people stuck indoors without air conditioning  As people shelter in place during the COVID 19 pandemic  figuring out how to safely beat the heat has become a bigger challenge ,Were about to find out  Photo by Avijit Ghosh SOPA Images LightRocket via Getty Images The COVID 19 pandemic is on the verge of colliding with another public health threat  extreme heat  which kills more people in the US each year than any other weather rel  6591 chars 
Andrew Marino,We need to start modeling alternative futures,Verge editor in chief Nilay Patel talks to Amy Webb  founder and CEO of The Future Today Institute about whether we could have predicted the COVID 19 outbreak  how it can change trends in the future  and how it may even accelerate trends like AI and cloud bas,The Future Today Institute Were continuing our Vergecast interview series remotely during the COVID 19 pandemic and this week  Verge editor in chief Nilay Patel sits down via Skype with Amy Webb  the founder and CEO of The Future Today Institute  Amy is also  7397 chars 
Zack Whittaker,Better know a CSO  Indiana University Healths Mitch Parker,Mitch Parker has one of Indianas most critical jobs  As chief information security officer for Indiana University Health  Parker oversees cybersecurity for more than 30 000 employees at 18 hospitals across the state  along with countless numbers of computers,Mitch Parker has one of Indianas most critical jobs As chief information security officer for Indiana University Health  Parker oversees cybersecurity for more than 30 000 employees at 18 hospitals across the state  along with countless numbers of computer  1979 chars 
Darrell Etherington,UK researchers develop new low cost  rapid COVID 19 test that could even be used at home,A new type of test developed by UK researchers from the Brunel University London  Lancaster University and the University of Surrey can provide COVID 19 detection in as little as 30 minutes  using hand held hardware that costs as little as 100  around  120 U,A new type of test developed by UK researchers from the Brunel University London  Lancaster University and the University of Surrey can provide COVID 19 detection in as little as 30 minutes  using hand held hardware that costs as little as 100  around  120 U  2062 chars 
Natasha Mascarenhas,Plastiq raises  75M to help small businesses use credit cards more,When Eliot Buchanan tried to use his credit card to pay his Harvard tuition bill  the payment was rejected because the university said it doesnt accept credit  Realizing the same problem exists for thousands of different transactions like board  rent and ven,When Eliot Buchanan tried to use his credit card to pay his Harvard tuition bill  the payment was rejected because the university said it doesnt accept credit  Realizing the same problem exists for thousands of different transactions like board  rent and vend  3618 chars 
Darrell Etherington,Oxford scientists develop new coronavirus test that provides results in just 30 minutes,Scientists at the University of Oxford have developed a new coronavirus test that produces results around three times faster than the current fastest testing methods  and that requires only relatively simple technical instrumentation  In addition to these ben,Scientists at the University of Oxford have developed a new coronavirus test that produces results around three times faster than the current fastest testing methods  and that requires only relatively simple technical instrumentation  In addition to these ben  3125 chars 
Darrell Etherington,Researchers to study if startups wrist worn wearable can detect early COVID 19 respiratory issues,Its highly unlikely that the current coronavirus crisis will neatly and fully solved by any one endeavor or solution  which makes news studies like one involving startup WHOOPs wrist worn fitness and health tracking wearable all the more important  The st,Its highly unlikely that the current coronavirus crisis will neatly and fully solved by any one endeavor or solution  which makes news studies like one involving startup WHOOPs wrist worn fitness and health tracking wearable all the more important  The st  3015 chars 
Darrell Etherington,Oura partners with UCSF to determine if its smart ring can hep detect COVID 19 early,Startups continue to find new ways to contribute to ongoing efforts to fight the global spread of COVID 19 during the current global coronavirus pandemic  and personal health hardware maker Oura is no exception  The smart ring startup is working with the Univ,Startups continue to find new ways to contribute to ongoing efforts to fight the global spread of COVID 19 during the current global coronavirus pandemic  and personal health hardware maker Oura is no exception  The smart ring startup is working with the Univ  2152 chars 
Natasha Lomas,Oxford Uni academics launch a tracker for COVID 19 policy interventions,Oxford University academics have launched a project to track government responses to the coronavirus pandemic  The tool  called the Oxford COVID 19 Government Response Tracker  OxCGRT  tracks 11 indicators to generate an index that compares the stringency of,Oxford University academics have launched a project to track government responses to the coronavirus pandemic The tool  called the Oxford COVID 19 Government Response Tracker  OxCGRT  tracks 11 indicators to generate an index that compares the stringency o  2061 chars 
Darrell Etherington,Creative Destruction Lab launches a new startup program dedicated to COVID 19 response,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit  2394 chars 
Darrell Etherington,Researchers develop emergency ventilator based on resuscitation bags used in ambulances,The need for innovative solutions to address shortages in crucial medical equipment is greater than ever  and a new initiative from a global team of biomedical engineering experts is a perfect example  The team developed a way for resuscitation bags  common ,The need for innovative solutions to address shortages in crucial medical equipment is greater than ever  and a new initiative from a global team of biomedical engineering experts is a perfect example  The team developed a way for resuscitation bags common pi  2360 chars 
Walter Thompson,Fast changing regulations give virtual care startups a chance to seize the moment,Alex Gold Contributor Share on Twitter Alex Gold is co founder of Myia  an intelligent health platform employing novel biometric data to predict and prevent costly medical events  Previously  Alex was Venture Partner at BCG Digital Ventures and a co founder o,More posts by this contributor For more than two decades  virtual care has slowly made inroads into American medicine A somewhat nebulous and overwhelming term  virtual carerefers to the integration of products like telehealth  remote patient monitoring  1434 chars 
Frederic Lardinois,OctoML raises  15M to make optimizing ML models easier,OctoML  a startup founded by the team behind the Apache TVM machine learning compiler stack project  today announced that it has raised a  15 million Series A round led by Amplify  with participation from Madrone Ventures  which led its  3 9 million seed roun,OctoML  a startup founded by the team behind the Apache TVM machine learning compiler stack project  today announced that it has raised a  15 million Series A round led by Amplify  with participation from Madrone Ventures  which led its  3 9 million seed roun  2740 chars 
Jake Bright,Kenya turns to its mobile money dominance to stem the spread of COVID 19,Kenyas largest teleco  Safaricom  will implement a fee waiver on East Africas leading mobile money product  M Pesa  to reduce the physical exchange of currency in response to the COVID 19 outbreak  The company announced that all person to person  P2P  trans,Kenyas largest teleco  Safaricom  will implement a fee waiver on East Africas leading mobile money product  M Pesa  to reduce the physical exchange of currency in response to the COVID 19 outbreak The company announced that all person to person  P2P  tran  1822 chars 
Darrell Etherington,Study behind updated FDA guidance shows self swab tests are as effective as those done by clinicians,Earlier this week  the U S  Food and Drug Administration  FDA  announced that it would be updating its guidance to allow self swab tests for COVID 19  in which a patient collects a sample for their own nose for a health professional to test  On Wednesday  Uni,Earlier this week  the U S  Food and Drug Administration  FDA  announced that it would be updating its guidance to allow self swab tests for COVID 19  in which a patient collects a sample for their own nose for a health professional to test  On Wednesday  Uni  1616 chars 
Zack Whittaker,A Norwegian school quit using video calls after a naked man guessed the meeting link,A school in Norway has stopped using popular video conferencing service Whereby after a naked man apparently guessed the link to a video lesson  According to Norwegian state broadcaster NRK  the man exposed himself in front of several young children over th,A school in Norway has stopped using popular video conferencing service Whereby after a naked man apparently guessed the link to a video lesson According to Norwegian state broadcaster NRK  the man exposed himself in front of several young children over t  1420 chars 
Devin Coldewey,Rocket Lab gets NASA certification for official smallsat launches,Rocket Labs Electron launch vehicle has received Category 1 certification from NASA  meaning it is authorized for use on more important missions  opening up a whole new revenue stream for the growing launch provider  The certification was largely based on th,Rocket Labs Electron launch vehicle has received Category 1 certification from NASA  meaning it is authorized for use on more important missions  opening up a whole new revenue stream for the growing launch provider The certification was largely based on t  1815 chars 
Taylor Hatmaker,Fauci  US can expect more than 100 000 COVID 19 deaths  millions of cases,On CNNs State of the Union Sunday  the leading U S  authority on the COVID 19 pandemic made some grim predictions about the course of the novel coronavirus as it rages through communities within the United States  Dr  Anthony Fauci  the longtime director for,On CNNs State of the Union Sunday  the leading U S  authority on the COVID 19 pandemic made some grim predictions about the course of the novel coronavirus as it rages through communities within the United States Dr  Anthony Fauci  the longtime director fo  1901 chars 
Darrell Etherington,IBM and The Weather Channel launch detailed local COVID 19 maps and data tracking,There are already a number of resources available for mapping the spread of confirmed COVID 19 cases both in the U S  and globally  but IBM and its subsidiary The Weather Company have launched new tools that bring COVID 19 mapping and analysis to more people ,There are already a number of resources available for mapping the spread of confirmed COVID 19 cases both in the U S  and globally  but IBM and its subsidiary The Weather Company have launched new tools that bring COVID 19 mapping and analysis to more people   2093 chars 
Devin Coldewey,Activity monitoring startup Zensors repurposes its tech to help coronavirus response,Computer vision techniques used for commercial purposes are turning out to be valuable tools for monitoring people s behavior during the present pandemic  Zensors  a startup that uses machine learning to track things like restaurant occupancy  lines  and so o,Computer vision techniques used for commercial purposes are turning out to be valuable tools for monitoring peoples behavior during the present pandemic  Zensors  a startup that uses machine learning to track things like restaurant occupancy  lines  and so o  2316 chars 
Darrell Etherington,A second potential COVID 19 vaccine  backed by Bill and Melinda Gates  is entering human testing,A new COVID 19 vaccine candidate is entering Phase 1 clinical human testing today  after the U S  Food and Drug Administration  FDA  accepted an application from Inovio Pharmaceuticals under the regulators Investigational New Drug program  Inovio plans to in,A new COVID 19 vaccine candidate is entering Phase 1 clinical human testing today  after the U S  Food and Drug Administration  FDA  accepted an application from Inovio Pharmaceuticals under the regulators Investigational New Drug program  Inovio plans to in  2289 chars 
Jonathan Shieber,YC grad SINAI helps companies understand their emissions in a bid to fight climate change,The first step to combating climate change for businesses is for them to understand their contributions to it  Thats where the new Y Combinator graduate  SINAI Technologies  comes in  Founded by Maria Fujihara  a 16 year veteran of the sustainability industr,The first step to combating climate change for businesses is for them to understand their contributions to it  Thats where the new Y Combinator graduate  SINAI Technologies  comes in Founded by Maria Fujihara  a 16 year veteran of the sustainability indust  2548 chars 
Catherine Shu,Senate  White House reach deal on  2 trillion stimulus package to lessen COVID 19s economic impact,After five days of negotiations  Senate leaders and the Trump administration the White House said early Wednesday morning that Senate leaders and the Trump administration have reached a deal on a  2 trillion stimulus package to help relieve the economic impac,After five days of negotiations  Senate leaders and the Trump administration the White House said early Wednesday morning that Senate leaders and the Trump administration have reached a deal on a  2 trillion stimulus package to help relieve the economic impac  2120 chars 
Darrell Etherington,FDA grants emergency authorization to system that decontaminates N95 respirator masks for re use,The global coronavirus pandemic has meant that theres a widespread effort to develop and advance creative solutions to new problems  like worldwide shortages of necessary front line medical equipment  One piece of gear thats necessary for protecting the hea,The global coronavirus pandemic has meant that theres a widespread effort to develop and advance creative solutions to new problems  like worldwide shortages of necessary front line medical equipment  One piece of gear thats necessary for protecting the hea  2586 chars 
Darrell Etherington,Rocket Lab postpones next mission due to coronavirus pandemic,Rocket Lab is the latest new space company to feel the impact of the global coronavirus pandemic  The small satellite launcher announced on Tuesday that it would be suspending its next launch  a mission called Dont Stop Me Now that was set to take off from,Rocket Lab is the latest new space company to feel the impact of the global coronavirus pandemic  The small satellite launcher announced on Tuesday that it would be suspending its next launch  a mission called Dont Stop Me Now that was set to take off from  2085 chars 
Jonathan Shieber,Aspen Neuroscience raises  70 million for its experimental Parkinson Disease treatment,Since 2012  Dr  Jeanne Loring  the founder of the eponymous Loring Lab at Scripps Research  has been thinking about how to use pluripotent stem cells as a potential treatment for Parkinson Disease  Now  eight years later  Aspen Neuroscience  the company she f,Since 2012  Dr  Jeanne Loring  the founder of the eponymous Loring Lab at Scripps Research  has been thinking about how to use pluripotent stem cells as a potential treatment for Parkinson Disease Now  eight years later  Aspen Neuroscience  the company she   3537 chars 
Kirsten Korosec,Starship Technologies is sending its autonomous robots to more cities as demand for contactless delivery rises,Starship Technologies has launched a robot food delivery service in Tempe  Arizona  as part of the autonomous delivery startups expansion plans following a  40 million funding round announced last August  Starship Technologies  which launched in 2014 by Skyp,Starship Technologies has launched a robot food delivery service in Tempe  Arizona  as part of the autonomous delivery startups expansion plans following a  40 million funding round announced last August Starship Technologies  which launched in 2014 by Sky  2570 chars 
Darrell Etherington,Creative Destruction Lab launches a new startup program dedicated to COVID 19 response,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit  2394 chars 
MENAFN,Richard leBrasseur   MENAFN COM, MENAFN   The Conversation  Dr  Rick leBrasseur is an Associate Professor of Landscape Architecture at Dalhousie University within the Department of Plant  Food and Environmental Sciences A licensed landscape architect  environmental psychologist  researcher, MENAFN   The Conversation  Dr  Rick leBrasseur is an Associate Professor of Landscape Architecture at Dalhousie University within the Department of Plant  Food and Environmental Sciences A licensed landscape architect  environmental psychologist  researche  3095 chars 
graemebenjamin1,N S  bans evictions while committing funds to Feed Nova Scotia  income assistance   Global News,N S  bans evictions while committing funds to Feed Nova Scotia  income assistance Global News One person in N S  hospitalized as a result of COVID 19 CTV News NS  NB pharmacies restrict medication fills to avoid shortages during COVID 19 Global News N S  boos,The Nova Scotia government is making sure tenants impacted by the COVID 19 outbreak cant be evicted  while also committing  1 million to food banks across the province The announcements were made a press briefing in Halifax on Thursday  which was held virtu  4043 chars 
Doug Schmidt Windsor Star,Viral virus video highlights COVID 19 panic shopping in Windsor   Windsor Star,Viral virus video highlights COVID 19 panic shopping in Windsor Windsor Star COVID 19 panic buying hits grocery stores across Canada CTV News Grocery stores hit with Coronavirus COVID 19 shopping surge  grocery store chain owner Scott Karns PennLive com Coron,We estimated 10 or 11 per cent of the population would panic buy  and theyre doing that right now but itll soon pass  said Charlebois  senior director of the Agri food Analytics Lab at Dalhousie University in Halifax and known as The Food Professor The food  1196 chars 
,Experts  No reason to panic as shelves seem bare amid virus concerns   CityNews Vancouver,Experts  No reason to panic as shelves seem bare amid virus concerns CityNews Vancouver Coronavirus Panic In Montreal Leaves Grocery Store Shelves Empty   Here s Metro s Solution MTL Blog Capturing the coronavirus mood through one Toronto grocery store The Gl,TORONTO  NEWS 1130   Grocery store shelves across the country are being emptied by those concerned about the spread of COVID 19  with toilet paper and canned goods being some of the hottest items According to a food expert  there is no reason to panic as C  1041 chars 
Alexander Quon,Nova Scotia extends coronavirus state of emergency  announces new support funds   Global News,Nova Scotia extends coronavirus state of emergency  announces new support funds Global News  This does make me nervous  N S  reports biggest one day spike of COVID 19 cases CTV News Atlantic Canadians call for rent freeze during COVID 19 pandemic Global News,Nova Scotia has announced a pair of funds that are meant to help workers and small businesses in the province Premier Stephen McNeil announced the two  20 million funds during a provincial update on Thursday The first is known as the Worker Emergency Brid  3597 chars 
joshkelliott,Flatten the curve  How one chart became a rallying cry against coronavirus   Global News,Flatten the curve  How one chart became a rallying cry against coronavirus Global News  Flattening the curve  on COVID 19 pandemic numbers  explained CTV News Here s Why Everybody s Talking About  Flattening The Curve  HuffPost Coronavirus outbreak  Social di,A bit of geeky jargon has become a rallying cry in the fight against the novel coronavirus  as people around the world try to flatten the curve by doing the little things necessary to stop the spread of the virus that causes COVID 19 The term comes from p  7722 chars 
Science X staff,Landmark study concludes marine life can be rebuilt by 2050,An international study recently published in the journal Nature  led by KAUST Professors Carlos Duarte and Susana Agust  lays out the essential roadmap of actions required for the planet s marine life to recover to full abundance by 2050 ,An international study recently published in the journal Nature  led by KAUST Professors Carlos Duarte and Susana Agust  lays out the essential roadmap of actions required for the planet s marine life to recover to full abundance by 2050 The project brings  4918 chars 
Darrell Etherington,Creative Destruction Lab launches a new startup program dedicated to COVID 19 response,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit,Global academic science and tech startup accelerator program Creative Destruction Lab  CDL  is adding a dedicated stream to its existing areas of focus  which include AI  health sciences  space  quantum computing  blockchain  energy  and oceans  The new addit  2394 chars 
marcmalkin,Listen  Ellen Page on Directing Netflix Doc  Justin Trudeau and Donald Trumps Environmental Records,Ellen Page is now calling the shots from behind the camera  The X Men star makes her directorial debut with Theres Something in the Water  the new Netflix documentary she co directed with Ian Daniel about the impact of environmental racism on marginalize,Ellen Page is now calling the shots from behind the camera The X Men star makes her directorial debut with Theres Something in the Water  the new Netflix documentary she co directed with Ian Daniel about the impact of environmental racism on marginaliz  2634 chars 
Rod Nickel,Wheat in Whitehorse  how climate change helps feed Canada s remote regions,After failing to grow wheat in Canada s subarctic Yukon territory 15 years ago  farmer Steve Mackenzie Grieve gave it another shot in 2017 ,WINNIPEG  Manitoba OTTAWA  Reuters    After failing to grow wheat in Canadas subarctic Yukon territory 15 years ago  farmer Steve Mackenzie Grieve gave it another shot in 2017   Thanks to longer summers  he has reaped three straight harvests  This spring he  4741 chars 
,Age is not the only risk for severe coronavirus disease   WJW FOX 8 News Cleveland,Age is not the only risk for severe coronavirus disease WJW FOX 8 News Cleveland Anosmia  The  hidden  coronavirus symptom many young patients are developing Daily Star Smell test  Possible new COVID 19 symptom emerges SCNow Loss of smell may be symptom of ne,WASHINGTON  AP  Older people remain most at risk of dying as the new coronavirus continues its rampage around the globe  but theyre far from the only ones vulnerable  One of many mysteries  Men seem to be faring worse than women And as cases skyrocket in th  6013 chars 
Mark Gollom,Provincial border checkpoints barring entry  restricting travel raise constitutional questions,While the coronavirus pandemic has prompted a shutdown of non essential travel at the Canada U S  border  many provinces have also set up checkpoints at their borders to restrict traffic  raising questions about the constitutionality of such measures ,While the coronavirus pandemic has prompted a shutdown of non essential travel at the Canada U S  border  a number of provinces have also set up checkpoints at their borders to restrict traffic  raising questions about the constitutionality of such measures   7751 chars 
Rosa Saba Calgary Bureau,Food prices set to rise amid COVID 19 crisis,Experts say food costs are under a lot of pressure  but that low oil prices are helping mitigate that pressure so far ,Food prices are likely to rise while restaurant prices go down amid COVID 19 and a sinking Canadian dollar  according to a new forecast by the University of Guelph and Dalhousie University   The universities put out a forecast for food prices every December   3133 chars 
Alex Ballingall Ottawa Bureau,Should Canada give out immunity passports for people who have beaten COVID 19 ,Experts say its worth considering but still too early to say whether people cant get infected twice or how long immunity lasts ,OTTAWATwelve weeks  maybe more  Maybe a lot more   That is the public estimate for how long Canadians will live with COVID 19 and the slew of restrictions in place to protect against the virus   But what if there is a way to loosen those restrictions for s  4301 chars 
